Date,SPX,GLD,USO,SLV,EUR/USD,formatted_date
2008-01-02,1447.160034,84.860001,78.470001,15.18,1.471692,02-01-2008
2008-01-03,1447.160034,85.57,78.370003,15.285,1.474491,03-01-2008
2008-01-04,1411.630005,85.129997,77.309998,15.167,1.475492,04-01-2008
2008-01-07,1416.180054,84.769997,75.5,15.053,1.468299,07-01-2008
2008-01-08,1390.189941,86.779999,76.059998,15.59,1.557099,08-01-2008
2008-01-09,1409.130005,86.550003,75.25,15.52,1.466405,09-01-2008
2008-01-10,1420.329956,88.25,74.019997,16.061001,1.4801,10-01-2008
2008-01-11,1401.02002,88.580002,73.089996,16.077,1.479006,11-01-2008
2008-01-14,1416.25,89.540001,74.25,16.280001,1.4869,14-01-2008
2008-01-15,1380.949951,87.989998,72.779999,15.834,1.48021,15-01-2008
2008-01-16,1373.199951,86.699997,71.849998,15.654,1.466405,16-01-2008
2008-01-17,1333.25,86.5,71.029999,15.717,1.464,17-01-2008
2008-01-18,1325.189941,87.419998,71.540001,16.030001,1.461796,18-01-2008
2008-01-22,1310.5,88.169998,70.550003,15.902,1.464794,22-01-2008
2008-01-23,1338.599976,87.889999,69.5,15.9,1.463208,23-01-2008
2008-01-24,1352.069946,90.080002,70.93,16.299999,1.47741,24-01-2008
2008-01-25,1330.609985,90.300003,71.910004,16.298,1.467502,25-01-2008
2008-01-28,1353.959961,91.75,72.349998,16.549999,1.478809,28-01-2008
2008-01-29,1362.300049,91.150002,72.980003,16.534,1.477192,29-01-2008
2008-01-30,1355.810059,92.059998,73.080002,16.674999,1.483107,30-01-2008
2008-01-31,1378.550049,91.400002,72.349998,16.818001,1.486503,31-01-2008
2008-02-01,1395.420044,89.349998,70.470001,16.618999,1.479991,01-02-2008
2008-02-04,1380.819946,89.099998,71.370003,16.514999,1.4828,04-02-2008
2008-02-05,1336.640015,87.68,70.150002,16.167,1.463807,05-02-2008
2008-02-06,1326.449951,88.949997,69.019997,16.375,1.46171,06-02-2008
2008-02-07,1336.910034,89.849998,69.800003,16.67,1.44789,07-02-2008
2008-02-08,1331.290039,91.0,72.900002,17.025999,1.557099,08-02-2008
2008-02-11,1339.130005,91.330002,74.550003,17.4,1.4502,11-02-2008
2008-02-12,1348.859985,89.330002,73.589996,17.033001,1.458194,12-02-2008
2008-02-13,1367.209961,89.440002,74.110001,17.132,1.455604,13-02-2008
